"SWSN_ID","SWSN_Site","EASTING","NORTHING"
2203,"AZ U:15:266(ASM)",468830.19541207,3653974.19732611
2204,"AZ U:15:24(ASM)",452080.623023018,3646032.45019007
2206,"AZ U:15:253(ASM)",471023.330433026,3660953.98563328
2207,"AZ U:15:30(ASM)",459142.699958637,3665766.52304108
2210,"AZ U:15:257(ASM)",465691.020470589,3653886.56201373
2212,"SIDEWINDER SITE COMPLEX",469316.717760369,3648726.83961014
2213,"LAS CASITAS",468332.616684392,3658223.21398537
2216,"AZ U:1:99(ASM)",408251.549441293,3742832.63345888
2220,"TERRACED BUTTE SITE",424193.287594259,3691125.0777472
2245,"AZ U:14:317(ASM)",453647.190977886,3676878.26415995
2246,"Gipe Site",387228.573915258,3784522.74186814
2248,"AZ O:10:8(ASM)",450140.140721098,3785493.3398229
2252,"AZ U:10:129(ASM)",437586.114692703,3673880.39784001
2255,"AZ U:15:244(ASM)",473694.017667457,3658091.82966501
2263,"Wile E. Coyote Site",440891.084125176,3693756.56704661
2270,"AZ U:2:1(ASM)",437383.195057362,3759532.7356109
2271,"AZ U:2:7(ASM)",439409.424531594,3767081.55223472
2272,"AZ U:2:8(ASM)",432310.037773103,3767722.04168813
2275,"AZ U:2:29(ASM)",432009.774951056,3754518.74655132
2277,"AZ U:6:28(ASM)",445494.132083371,3708989.30538182
2278,"AZ U:6:45(ASM)",436670.990080699,3705410.2983648
2295,"AZ U:13:22(ASM)",424142.017517656,3663372.95668457
2296,"AZ U:13:24(ASM)",410222.312961951,3683191.69892237
2297,"AZ U:14:46(ASM)",441567.955088675,3687690.84882316
2318,"Buell Site",465031.822577655,3666970.81936657
2332,"AZ U:15:92(ASM)",460814.129269078,3683546.9822042
2338,"Las Fosas",460108.219575197,3648379.21995974
2345,"AZ U:15:53(ASM)",456914.757051617,3667177.3238447
2354,"Sand Dune South Site",454370.332887143,3690413.71854532
2357,"Saturday Site",475401.647377491,3646336.78961581
2363,"AZ U:15:406(ASM)",467438.773699164,3649255.14010003
2377,"AZ L:1:16(GP)",592246.234137967,3624776.42418091
2382,"Fort Grant Silo Site",597389.198584974,3620559.69284572
2383,"Earven Flat Site",646305.326241285,3647690.36584173
2391,"Swift Trail Area",624167.006867006,3610750.52115199
2396,"Grapevine Canyon",606485.485743463,3604866.17869285
2400,"AZ CC:1:19(BLM)",614290.606311724,3626461.90971251
2402,"AZ BB:4:18(BLM)",582642.760038629,3643338.6167438
2408,"AZ W:13:7(ASM)",593948.721038952,3672217.1647038
2414,"AZ CC:2:185",607116.394377604,3627013.38431363
2418,"Krider Kiva Site",610514.20115006,3620822.63621929
2419,"AZ CC:1:45",594208.917717233,3636280.00700049
2420,"AZ CC:1:46",611596.37045826,3638473.43075334
2423,"Murphy Site--Safford West",594569.064205006,3638670.74368215
2433,"AZ BB:3:20(ASM)",561990.357266545,3624803.9711673
2435,"AZ BB:3:22",572110.082402855,3635924.1925617
2442,"Sharon Site",613939.292685136,3614549.26480192
2445,"Danson 481",743942.628182441,3819450.46200185
2461,"AZ V:9:108 (ASM)",495619.371900544,3705890.19581699
2462,"AZ V:9:109 (ASM)",502104.343934551,3707508.44715185
2463,"AZ V:5:030 (ASM)",510528.336792871,3709259.49570455
2464,"AZ V:5:032 (ASM)",509663.646500155,3706723.30119109
